"","x"
"FBgn0036545",1088.66666666667
"FBgn0032449",1671.5
"FBgn0038151",1571
"FBgn0038150",1319
"FBgn0001316",6264.11111111111
"FBgn0033827",1612
"FBgn0033828",652
"FBgn0002723",4422
"FBgn0015379",1021
"FBgn0031097",1570
"FBgn0022770",1330.66666666667
"FBgn0040754",423
"FBgn0015789",2336
"FBgn0035132",2500.85714285714
"FBgn0027107",1875
"FBgn0033845",3714
"FBgn0031099",1592.66666666667
"FBgn0031098",2785
"FBgn0283450",720
"FBgn0031239",5798.5
"FBgn0003118",3397.5
"FBgn0086855",2360.25
"FBgn0000352",4589.5
"FBgn0036480",3474.66666666667
"FBgn0039994",2149
"FBgn0039070",1959
"FBgn0035131",2133
"FBgn0028671",2968.7
"FBgn0035142",7718.66666666667
"FBgn0265264",3392
"FBgn0032276",2737
"FBgn0039904",6190.2
"FBgn0259938",4744
"FBgn0040496",1828.66666666667
"FBgn0032280",590
"FBgn0032281",487.666666666667
"FBgn0032285",1164
"FBgn0039051",1343
"FBgn0039050",2036
"FBgn0039048",2959
"FBgn0024740",1793
"FBgn0001235",4690.6
"FBgn0032291",979
"FBgn0039045",1475
"FBgn0041243",1497
"FBgn0039043",1433
"FBgn0036962",1947
"FBgn0032297",2177
"FBgn0032299",441
"FBgn0035151",2296.66666666667
"FBgn0284435",3564.83333333333
"FBgn0032304",1263
"FBgn0260944",1150.5
"FBgn0069354",1098.5
"FBgn0260454",2398
"FBgn0260453",1830.5
"FBgn0039020",1099
"FBgn0035113",3234
"FBgn0035110",927.5
"FBgn0036953",1207.5
"FBgn0022709",1114.5
"FBgn0260393",1136
"FBgn0000594",1740
"FBgn0260397",3617
"FBgn0010808",940
"FBgn0035581",7731.5
"FBgn0036250",1908
"FBgn0036248",1412
"FBgn0036246",600
"FBgn0011570",1652
"FBgn0039945",4204.5
"FBgn0030486",7477.5
"FBgn0261278",2160
"FBgn0039944",3778.57142857143
"FBgn0039942",1583.5
"FBgn0036462",1137
"FBgn0039941",2538
"FBgn0039943",1516
"FBgn0040514",532
"FBgn0003559",2717
"FBgn0039946",2269
"FBgn0036447",1581
"FBgn0040509",3557
"FBgn0040510",3541.8
"FBgn0036440",2645
"FBgn0040506",3448
"FBgn0031170",6223.66666666667
"FBgn0035140",1110
"FBgn0035144",2825
"FBgn0035149",1103
"FBgn0037884",2004
"FBgn0038741",1482
"FBgn0037882",1263
"FBgn0039485",995
"FBgn0038761",932
"FBgn0039473",1090
"FBgn0039472",1052
"FBgn0040571",3800.33333333333
"FBgn0039369",923
"FBgn0039368",902
"FBgn0039367",1958
"FBgn0039366",1512
"FBgn0038775",1591
"FBgn0040253",1584
"FBgn0038043",777
"FBgn0038051",1323
"FBgn0030687",4420
"FBgn0014869",1066.66666666667
"FBgn0037888",898
"FBgn0032414",5159
"FBgn0032415",939
"FBgn0032416",1634
"FBgn0026063",3527
"FBgn0032419",626
"FBgn0032421",1033
"FBgn0031494",1253
"FBgn0031168",1173
"FBgn0031500",1467
"FBgn0031491",1714
"FBgn0031489",1331.75
"FBgn0034866",1399
"FBgn0038035",2604
"FBgn0004595",14495.5
"FBgn0046225",2377.66666666667
"FBgn0036958",4023.625
"FBgn0042187",808
"FBgn0031410",914
"FBgn0042186",801
"FBgn0031164",843
"FBgn0011832",845
"FBgn0039033",1164
"FBgn0250841",938.5
"FBgn0039031",764
"FBgn0025740",6883
"FBgn0261439",2676.66666666667
"FBgn0013342",2327.375
"FBgn0035249",1534
"FBgn0001624",4428.85714285714
"FBgn0033041",1280
"FBgn0026149",1664
"FBgn0261710",8590.25
"FBgn0029970",2581
"FBgn0031495",1589.5
"FBgn0031496",2858
"FBgn0031497",1841
"FBgn0031498",1325.66666666667
"FBgn0031501",733.5
"FBgn0243513",871
"FBgn0031490",2705.5
"FBgn0031488",3261
"FBgn0033089",810
"FBgn0038821",1510
"FBgn0265606",891
"FBgn0038827",4587
"FBgn0038828",1198
"FBgn0038829",1324
"FBgn0038830",670
"FBgn0027493",1951
"FBgn0046763",1934
"FBgn0038850",776
"FBgn0027359",711
"FBgn0034877",541.5
"FBgn0038857",1000
"FBgn0038505",1585
"FBgn0038859",591
"FBgn0000639",3423
"FBgn0027500",3686
"FBgn0034202",1783
"FBgn0034201",1441.5
"FBgn0260439",2490.6
"FBgn0032029",1531.75
"FBgn0032030",1089
"FBgn0032032",1012
"FBgn0032034",707
"FBgn0038879",495
"FBgn0264357",3473.4375
"FBgn0036345",699
"FBgn0031442",830
"FBgn0031443",1202
"FBgn0039915",2874
"FBgn0015808",1883
"FBgn0032719",2344.5
"FBgn0027070",1874.5
"FBgn0032713",2070.75
"FBgn0027074",1680
"FBgn0040993",818
"FBgn0038107",779
"FBgn0028895",1421
"FBgn0028896",665
"FBgn0028841",1041.5
"FBgn0032596",794.5
"FBgn0027779",2320
"FBgn0030239",847
"FBgn0035626",1152
"FBgn0010240",1903
"FBgn0259979",1591.5
"FBgn0017581",5330
"FBgn0032751",571
"FBgn0032755",803
"FBgn0086446",708
"FBgn0015380",3104
"FBgn0032771",1147
"FBgn0032772",1115
"FBgn0035880",3190.75
"FBgn0011290",1012.25
"FBgn0036396",1352
"FBgn0261395",889
"FBgn0037949",5050
"FBgn0036395",865
"FBgn0036393",565
"FBgn0036391",3951.25
"FBgn0028717",3093
"FBgn0005671",2476
"FBgn0030293",4290.66666666667
"FBgn0039381",2432.66666666667
"FBgn0040001",7395
"FBgn0031861",1082
"FBgn0042189",583.666666666667
"FBgn0031859",976.25
"FBgn0031858",2436
"FBgn0030291",799
"FBgn0039077",1068
"FBgn0039079",1638
"FBgn0039080",1680
"FBgn0039350",1994.125
"FBgn0033934",1522.5
"FBgn0033936",4356
"FBgn0037276",3093
"FBgn0040020",861
"FBgn0031145",1730.5
"FBgn0038001",914
"FBgn0025814",734
"FBgn0028697",860.5
"FBgn0001145",1845.66666666667
"FBgn0260987",2413
"FBgn0040066",1803.5
"FBgn0267435",4858.2
"FBgn0030120",1300
"FBgn0030121",2374
"FBgn0030301",2541
"FBgn0040028",1918.33333333333
"FBgn0033982",2628.66666666667
"FBgn0039977",1021.5
"FBgn0039830",1397
"FBgn0039925",4376
"FBgn0039251",1649.5
"FBgn0030300",2648
"FBgn0032869",939
"FBgn0039924",1468
"FBgn0032868",582
"FBgn0038481",1050
"FBgn0038479",851
"FBgn0260799",2685
"FBgn0032997",1804
"FBgn0064225",1970.75
"FBgn0030305",1432
"FBgn0040009",2596
"FBgn0086442",3956
"FBgn0040010",3008
"FBgn0040011",3102
"FBgn0035640",818
"FBgn0039836",1075
"FBgn0039970",1186.5
"FBgn0260012",4800
"FBgn0030306",956.333333333333
"FBgn0039969",629.5
"FBgn0039959",4284.5
"FBgn0039966",1063.66666666667
"FBgn0264492",1580.57142857143
"FBgn0024733",930.333333333333
"FBgn0063499",1011.5
"FBgn0063498",890
"FBgn0063497",755
"FBgn0063496",839
"FBgn0063495",734
"FBgn0261387",3665.5
"FBgn0031148",1896.33333333333
"FBgn0063494",751
"FBgn0063493",765
"FBgn0063492",940
"FBgn0063491",788
"FBgn0086683",1336
"FBgn0032775",2535.25
"FBgn0032774",1073.8
"FBgn0038462",1159.5
"FBgn0024245",2634.5
"FBgn0038450",1712
"FBgn0038449",1674
"FBgn0032768",1305
"FBgn0038424",1569
"FBgn0010097",1574.5
"FBgn0032763",1839
"FBgn0035416",4593
"FBgn0260000",1006
"FBgn0259998",1085
"FBgn0032753",1344
"FBgn0033777",985.777777777778
"FBgn0250842",946.5
"FBgn0033775",1617
"FBgn0003326",3336
"FBgn0040755",1086
"FBgn0028963",1739
"FBgn0000251",2479.66666666667
"FBgn0029711",3285.5
"FBgn0031544",1753
"FBgn0028993",1643.25
"FBgn0262866",4916
"FBgn0032715",1556
"FBgn0031194",3467
"FBgn0031196",1756
"FBgn0031195",1727.5
"FBgn0031197",960
"FBgn0010355",6685.5
"FBgn0000246",2613.33333333333
"FBgn0026718",1582
"FBgn0001137",1718
"FBgn0034915",1056
"FBgn0031597",1950.5
"FBgn0010395",3208
"FBgn0039002",559
"FBgn0002948",2364
"FBgn0000241",2618
"FBgn0032144",1350
"FBgn0025837",1986
"FBgn0037004",1515
"FBgn0038029",945
"FBgn0030467",1587.5
"FBgn0031357",740
"FBgn0011270",1085
"FBgn0264494",3210
"FBgn0031364",541
"FBgn0000546",5262
"FBgn0031365",534
"FBgn0031361",1035.5
"FBgn0000579",2269.5
"FBgn0086698",3496.66666666667
"FBgn0034924",1875
"FBgn0031356",2357
"FBgn0034884",902
"FBgn0034883",1066.5
"FBgn0262117",3382
"FBgn0036311",1922
"FBgn0034352",1726
"FBgn0083978",1483
"FBgn0003034",223
"FBgn0000384",2460
"FBgn0011202",4008
"FBgn0062440",701
"FBgn0032668",1282
"FBgn0262115",1926.75
"FBgn0263780",2556
"FBgn0024807",3148.125
"FBgn0036348",4812
"FBgn0036374",7501
"FBgn0039993",981.333333333333
"FBgn0001085",3817
"FBgn0040056",2243.5
"FBgn0041210",6059.125
"FBgn0026401",6586.83333333333
"FBgn0025835",3789.5
"FBgn0004456",4268.66666666667
"FBgn0027597",1436
"FBgn0041004",2448
"FBgn0000633",5928.5
"FBgn0029877",1083
"FBgn0010316",2530
"FBgn0037885",694
"FBgn0035432",2162.57142857143
"FBgn0033802",4359.2
"FBgn0003067",2486
"FBgn0037880",1409
"FBgn0033439",1123
"FBgn0036923",2373
"FBgn0037890",1035
"FBgn0036925",1917
"FBgn0035423",681
"FBgn0038009",411
"FBgn0033710",2830
"FBgn0039856",1795.5
"FBgn0002521",2270
"FBgn0035730",926
"FBgn0035425",1635.5
"FBgn0011655",3234.33333333333
"FBgn0038717",1666
"FBgn0038718",1716
"FBgn0010531",924.5
"FBgn0030114",2508.83333333333
"FBgn0004435",3187.42857142857
"FBgn0033756",1535
"FBgn0030412",5063
"FBgn0029751",1157
"FBgn0033529",989
"FBgn0023510",6390.5
"FBgn0027358",1670
"FBgn0032240",1054
"FBgn0011273",910
"FBgn0039374",1224
"FBgn0040899",453
"FBgn0040900",620.5
"FBgn0023534",1231.5
"FBgn0039197",1456
"FBgn0039196",1506
"FBgn0039195",1484
"FBgn0039192",714
"FBgn0039188",1814
"FBgn0039167",4088
"FBgn0035623",2035
"FBgn0015583",767
"FBgn0040098",792
"FBgn0026415",1620.66666666667
"FBgn0033159",7747.52
"FBgn0038550",1220
"FBgn0038549",1706
"FBgn0038547",2128.5
"FBgn0038548",1613
"FBgn0034748",1924
"FBgn0040959",361
"FBgn0037525",3462
"FBgn0027872",1382
"FBgn0038915",646
"FBgn0023143",4343
"FBgn0038914",531
"FBgn0034383",1073
"FBgn0036227",2329
"FBgn0016038",1287
"FBgn0025635",2217.33333333333
"FBgn0024728",2660.33333333333
"FBgn0028394",1559.66666666667
"FBgn0001269",3480.33333333333
"FBgn0261113",2699.85714285714
"FBgn0038826",4106.64705882353
"FBgn0036454",4170.5
"FBgn0031611",2729
"FBgn0028480",2488
"FBgn0038919",1800
"FBgn0030061",1885
"FBgn0026393",1412
"FBgn0032124",1733
"FBgn0039576",503
"FBgn0030369",1885
"FBgn0001313",13386
"FBgn0030298",2819
"FBgn0028946",1290
"FBgn0041629",2140
"FBgn0004907",2418.08333333333
"FBgn0036474",1410.5
"FBgn0038034",2039
"FBgn0000078",1606
"FBgn0261386",426
"FBgn0040005",1632
"FBgn0029521",1188
"FBgn0016694",4727
"FBgn0030063",860
"FBgn0023537",2036.5
"FBgn0284248",657.5
"FBgn0032597",1075
"FBgn0032598",2265
"FBgn0032086",971
"FBgn0000024",5106
"FBgn0030163",1182.66666666667
"FBgn0037591",1170
"FBgn0032600",4334.57142857143
"FBgn0032601",1749
"FBgn0038798",1234
"FBgn0037431",706
"FBgn0037433",778
"FBgn0039860",1344
"FBgn0010228",961
"FBgn0266346",3287
"FBgn0002863",243
"FBgn0264695",6794.33333333333
"FBgn0032603",1623
"FBgn0038415",1670
"FBgn0039923",4949.5
"FBgn0038416",1653
"FBgn0038421",1030
"FBgn0040260",1875.33333333333
"FBgn0004173",415
"FBgn0004175",415
"FBgn0033438",3750.66666666667
"FBgn0284247",12280.5
"FBgn0010105",2086.5
"FBgn0037500",756
"FBgn0004174",361
"FBgn0004172",358
"FBgn0010215",3243.5
"FBgn0061209",595
"FBgn0027864",1307
"FBgn0004362",1255.25
"FBgn0034657",2737.33333333333
"FBgn0002862",480.5
"FBgn0003510",2577.5
"FBgn0003512",1546
"FBgn0029647",487
"FBgn0030365",1620
"FBgn0004052",453
"FBgn0031694",1709
"FBgn0034624",1033
"FBgn0028562",1608
"FBgn0028561",1588
"FBgn0040778",966
"FBgn0030006",1171
"FBgn0033199",1479
"FBgn0032536",3203.5
"FBgn0003204",2516.25
"FBgn0039498",1064
"FBgn0033072",1762
"FBgn0032595",529
"FBgn0261988",4117.5
"FBgn0034552",1691
"FBgn0039861",2516.33333333333
"FBgn0003654",2846.2
"FBgn0040007",707
"FBgn0061356",1322
"FBgn0033566",1079.33333333333
"FBgn0037660",1882
"FBgn0261793",7974.33333333333
"FBgn0031171",5303
"FBgn0033491",3329
"FBgn0038552",1615
"FBgn0261976",821
"FBgn0004865",4197
"FBgn0029123",4026
"FBgn0002566",3821
"FBgn0030362",1197.25
"FBgn0039778",933
"FBgn0023550",1681
"FBgn0028422",3080
"FBgn0039862",6616
"FBgn0039710",1876.66666666667
"FBgn0037435",1409
"FBgn0030360",1615
"FBgn0028856",1279.66666666667
"FBgn0028415",241
"FBgn0034519",1631
"FBgn0034517",1072
"FBgn0034512",1169
"FBgn0264607",3499.33333333333
"FBgn0013733",17957.4545454545
"FBgn0036537",774.666666666667
"FBgn0003366",8171
"FBgn0003377",321
"FBgn0032082",2310.66666666667
"FBgn0033423",1686
"FBgn0000500",569
"FBgn0032791",1276.5
"FBgn0028872",1850.33333333333
"FBgn0041183",4219
"FBgn0030556",2243
"FBgn0003392",3811.4
"FBgn0023535",1243
"FBgn0028738",755
"FBgn0025583",367
"FBgn0034330",281
"FBgn0034329",361
"FBgn0028901",6001
"FBgn0039677",1824.5
"FBgn0039678",585.5
"FBgn0039702",1531
"FBgn0031119",3229
"FBgn0028530",1433
"FBgn0264253",774
"FBgn0034898",1139
"FBgn0030359",2344
"FBgn0031343",1588.16666666667
"FBgn0031345",684
"FBgn0036837",2992.6
"FBgn0036839",1856
"FBgn0033426",1827.33333333333
"FBgn0250907",7147.66666666667
"FBgn0261436",1590
"FBgn0032209",713
"FBgn0032189",1259
"FBgn0028939",2554.66666666667
"FBgn0039863",5824
"FBgn0029945",2047
"FBgn0035725",839
"FBgn0030563",907
"FBgn0004370",7680.16666666667
"FBgn0035239",5597
"FBgn0035262",2538
"FBgn0035265",2058
"FBgn0028694",1208
"FBgn0036038",3227
"FBgn0036039",1967.66666666667
"FBgn0036035",1294
"FBgn0036023",870
"FBgn0033428",1299
"FBgn0036024",901
"FBgn0034255",371
"FBgn0033659",1496
"FBgn0034403",1077
"FBgn0037579",587
"FBgn0038653",9775
"FBgn0285949",536
"FBgn0010357",942
"FBgn0038535",3470.5
"FBgn0038470",2993
"FBgn0024277",5711.83333333333
"FBgn0014133",6227.6
"FBgn0036832",989
"FBgn0036796",1548
"FBgn0036795",1548
"FBgn0265268",1575
"FBgn0030403",2509
"FBgn0032095",3378
"FBgn0034085",4589
"FBgn0015295",3176
"FBgn0037553",2002.5
"FBgn0010342",1814
"FBgn0034072",5642.75
"FBgn0265267",1497
"FBgn0030956",2055
"FBgn0030228",3190
"FBgn0030012",1586
"FBgn0036725",6909
"FBgn0031724",1804
"FBgn0037520",1432
"FBgn0031719",919
"FBgn0033431",1341
"FBgn0037263",1139
"FBgn0029525",4342
"FBgn0033836",1677
"FBgn0283462",1032.5
"FBgn0002183",3631.5
"FBgn0037003",1665
"FBgn0043825",1499.5
"FBgn0013467",2381
"FBgn0039679",1536
"FBgn0031126",2773.66666666667
"FBgn0000046",1687.66666666667
"FBgn0030269",1831
"FBgn0036873",507
"FBgn0011754",2601.8
"FBgn0032265",1371
"FBgn0032266",2144
"FBgn0031869",6418
"FBgn0030566",1012
"FBgn0035538",3515.66666666667
"FBgn0000109",871.666666666667
"FBgn0033261",1006.5
"FBgn0031359",2170
"FBgn0000173",1681.4
"FBgn0032979",2766.5
"FBgn0029002",1150.4
"FBgn0033905",1259.5
"FBgn0033904",1031
"FBgn0035231",1697
"FBgn0036181",9524
"FBgn0027055",1679
"FBgn0033610",1346
"FBgn0040763",616.5
"FBgn0031758",993
"FBgn0029812",1077
"FBgn0033683",539.5
"FBgn0005614",3805.33333333333
"FBgn0260743",1554
"FBgn0036110",457
"FBgn0036109",565
"FBgn0031127",617
"FBgn0026777",1668.33333333333
"FBgn0000499",2844
"FBgn0032940",4124.27272727273
"FBgn0036808",1365
"FBgn0034460",384
"FBgn0033864",3859
"FBgn0033860",2074
"FBgn0030329",1803.25
"FBgn0033893",477
"FBgn0041581",833.5
"FBgn0025592",1823
"FBgn0034606",4589.33333333333
"FBgn0033524",2223.75
"FBgn0026199",3188
"FBgn0264490",9492.66666666667
"FBgn0030555",2894
"FBgn0004171",1066
"FBgn0032723",6232
"FBgn0032728",2859
"FBgn0030351",717.5
"FBgn0283499",10365.5
"FBgn0039761",607
"FBgn0011259",8032.42857142857
"FBgn0033504",4912.30434782609
"FBgn0030330",3150.33333333333
"FBgn0039226",1457.33333333333
"FBgn0004861",5851.75
"FBgn0035780",1480
"FBgn0035568",1142
"FBgn0013813",15063.3333333333
"FBgn0028866",1857
"FBgn0021895",2072.5
"FBgn0039149",581.333333333333
"FBgn0039536",10193.6
"FBgn0030350",827
"FBgn0003863",860
"FBgn0033476",3952.5
"FBgn0033458",2115
"FBgn0033285",765
"FBgn0033155",5380
"FBgn0025360",2165.33333333333
"FBgn0010222",1215.33333333333
"FBgn0034218",1462
"FBgn0034217",1188
"FBgn0034206",509
"FBgn0030345",1776
"FBgn0024232",5085.66666666667
"FBgn0039463",1587
"FBgn0037683",1282
"FBgn0037931",2946
"FBgn0028864",1483
"FBgn0028517",950
"FBgn0283712",4822.4
"FBgn0028518",3232.33333333333
"FBgn0003300",2596.66666666667
"FBgn0026323",2520.5
"FBgn0038701",1566
"FBgn0263121",935.5
"FBgn0016977",18759.5
"FBgn0033154",2403
"FBgn0038363",581
"FBgn0028527",2157.8
"FBgn0028746",723
"FBgn0026602",2203
"FBgn0038350",3832
"FBgn0028900",1090
"FBgn0038348",3950
"FBgn0267408",4228
"FBgn0028984",1519.5
"FBgn0039189",1676
"FBgn0042207",1188
"FBgn0265139",1535
"FBgn0034322",788
"FBgn0034323",607
"FBgn0034324",549
"FBgn0034325",594.5
"FBgn0026389",1531
"FBgn0034326",627
"FBgn0037731",1263
"FBgn0010431",1092
"FBgn0037812",660
"FBgn0037973",1131
"FBgn0042206",864
"FBgn0038053",2004
"FBgn0041710",1412
"FBgn0031470",1073
"FBgn0031469",1813
"FBgn0041337",1844
"FBgn0003870",4059.75
"FBgn0032639",1251
"FBgn0033888",1372
"FBgn0002930",1633
"FBgn0003189",6959.33333333333
"FBgn0037870",810
"FBgn0040259",1994
"FBgn0036466",660
"FBgn0025743",3269
"FBgn0031929",1390.5
"FBgn0035642",1918.5
"FBgn0044011",1432
"FBgn0261790",521
"FBgn0036237",1158
"FBgn0038973",646
"FBgn0038953",3665
"FBgn0038589",360
"FBgn0038592",1847
"FBgn0038601",1414
"FBgn0034411",1589
"FBgn0034428",1013
"FBgn0034429",744
"FBgn0014269",1597
"FBgn0034382",989
"FBgn0260444",2107.5
"FBgn0028670",3025
"FBgn0032202",572.25
"FBgn0040324",3821.66666666667
"FBgn0038460",846
"FBgn0029971",526.6
"FBgn0028970",1433
"FBgn0036091",334
"FBgn0034279",2073
"FBgn0032551",1103
"FBgn0014859",7374
"FBgn0031426",1790
"FBgn0025109",1710
"FBgn0037898",526
"FBgn0045759",2412
"FBgn0036469",528.5
"FBgn0024293",1329
"FBgn0015773",3277.66666666667
"FBgn0027561",3541.42857142857
"FBgn0039581",3595.66666666667
"FBgn0028704",6591.6
"FBgn0040964",866.5
"FBgn0040963",646
"FBgn0040967",514
"FBgn0039582",1151
"FBgn0040628",1035
"FBgn0040629",1060
"FBgn0040696",1608
"FBgn0040697",1586
"FBgn0033427",2378.5
"FBgn0010425",830
"FBgn0035398",3953
"FBgn0011586",1196.8
"FBgn0061476",2232
"FBgn0000557",2598.5
"FBgn0000079",1631.5
"FBgn0042213",607.5
"FBgn0004598",5626.33333333333
"FBgn0042098",1179
"FBgn0002783",3887
"FBgn0266137",5048
"FBgn0013276",2375
"FBgn0042101",1336
"FBgn0042102",1567
"FBgn0042103",1487
"FBgn0042104",1408
"FBgn0042105",1434
"FBgn0042182",3474
"FBgn0042106",1398.5
"FBgn0042205",1378
"FBgn0042110",1241
"FBgn0042111",1573.33333333333
"FBgn0042112",495
"FBgn0042185",2122.625
"FBgn0015509",3375.5
"FBgn0020643",416
"FBgn0042118",560
"FBgn0042119",489.5
"FBgn0086611",543
"FBgn0000278",425
"FBgn0013531",1037
"FBgn0042125",1386
"FBgn0042126",1804
"FBgn0042127",1389
"FBgn0041627",2304
"FBgn0011740",4000.5
"FBgn0284421",1889
"FBgn0042129",788
"FBgn0042131",1354
"FBgn0042132",2091.25
"FBgn0042133",1168
"FBgn0042134",3998
"FBgn0042135",2491.66666666667
"FBgn0042137",956
"FBgn0042138",1234.8
"FBgn0042086",865
"FBgn0029508",1112.66666666667
"FBgn0033226",1839.71428571429
"FBgn0042146",667
"FBgn0039757",828.25
"FBgn0030066",1470
"FBgn0042173",1157
"FBgn0042175",1923
"FBgn0041626",1164
"FBgn0030343",4693.5
"FBgn0042179",1909.5
"FBgn0035290",2433.66666666667
"FBgn0042180",2478
"FBgn0033421",2705
"FBgn0030164",1289.75
"FBgn0039869",704
"FBgn0003317",2527.33333333333
"FBgn0035390",1586
"FBgn0039585",1425
"FBgn0030339",1604
"FBgn0039870",835
"FBgn0000492",2552
"FBgn0042712",2309.5
"FBgn0030391",1551.66666666667
"FBgn0039914",2705
"FBgn0033434",1765.5
"FBgn0086361",2372.16666666667
"FBgn0039674",1623
"FBgn0030274",2420.75
"FBgn0039911",2387.5
"FBgn0022349",2780.33333333333
"FBgn0039680",4301
"FBgn0013972",2354
"FBgn0003884",1752
"FBgn0086906",44938.3846153846
"FBgn0004360",2237.5
"FBgn0035281",1075.5
"FBgn0014388",3772
"FBgn0028996",6396
"FBgn0030377",2187
"FBgn0002891",6750
"FBgn0027547",971
"FBgn0001254",1708
"FBgn0025820",812.333333333333
"FBgn0039875",2470
"FBgn0030276",3109
"FBgn0037469",914
"FBgn0033214",1383.25
"FBgn0033215",1305
"FBgn0037468",1050
"FBgn0033395",1777
"FBgn0005632",9263.57142857143
"FBgn0033216",1189
"FBgn0030370",1298
"FBgn0039623",3224
"FBgn0003093",3943.25
"FBgn0004636",2771.66666666667
"FBgn0027873",2431
"FBgn0029940",980
"FBgn0002872",4090
"FBgn0032876",2773.5
"FBgn0024841",725
"FBgn0039688",7616.66666666667
"FBgn0037466",3160.66666666667
"FBgn0027620",5079
"FBgn0030341",1321
"FBgn0033401",2057.5
"FBgn0039690",1214.71428571429
"FBgn0039909",1578.5
"FBgn0039881",1078.25
"FBgn0039691",2043
"FBgn0260990",4165
"FBgn0028408",4524.5
"FBgn0039883",9795.125
"FBgn0250789",8127.5
"FBgn0033404",3461
"FBgn0026563",3425
"FBgn0019828",1164.33333333333
"FBgn0026869",10070.3333333333
"FBgn0024289",1291
"FBgn0039751",1359.5
"FBgn0037463",1098
"FBgn0030162",1802.5
"FBgn0030479",1608.33333333333
"FBgn0037464",2126
"FBgn0026749",1214.5
"FBgn0027330",3248
"FBgn0030485",1547.33333333333
"FBgn0029947",1091
"FBgn0039886",1789
"FBgn0030060",1691.4
"FBgn0039664",1527.5
"FBgn0026262",4514
"FBgn0039667",2099
"FBgn0004436",1654
"FBgn0039669",734
"FBgn0250839",1017.75
"FBgn0037391",2219.6
"FBgn0029088",4884
"FBgn0035271",402
"FBgn0037292",902
"FBgn0037383",1689.5
"FBgn0030344",4054
"FBgn0015024",2259.33333333333
"FBgn0037382",2311
"FBgn0010198",741.4
"FBgn0015359",1216.5
"FBgn0028836",1186
"FBgn0010114",4141.5
"FBgn0039907",5357
"FBgn0002534",621.5
"FBgn0002535",659.5
"FBgn0019929",1413
"FBgn0037378",893
"FBgn0001077",1774
"FBgn0002413",3466.25
"FBgn0020621",5115.75
"FBgn0002780",2120.5
"FBgn0037376",1555
"FBgn0262636",4135
"FBgn0039887",1302.5
"FBgn0022702",2082
"FBgn0030051",1573.75
"FBgn0029942",1169
"FBgn0014469",1831.5
"FBgn0027498",2074.66666666667
"FBgn0015034",1772
"FBgn0033400",1195
"FBgn0033205",1210
"FBgn0033204",1218.5
"FBgn0035264",4004.5
"FBgn0033203",1243
"FBgn0011834",901
"FBgn0026326",2439
"FBgn0004372",2021
"FBgn0030263",1405
"FBgn0033402",2931.66666666667
"FBgn0029944",3487
"FBgn0030262",740
"FBgn0027608",1855.75
"FBgn0027594",3893.5
"FBgn0037327",4357.66666666667
"FBgn0037372",1335
"FBgn0261385",3572.66666666667
"FBgn0033194",10422
"FBgn0266672",3363
"FBgn0000711",2846
"FBgn0037371",3986
"FBgn0266268",1403.66666666667
"FBgn0037328",621
"FBgn0037369",1591.5
"FBgn0035374",1144
"FBgn0004878",2998
"FBgn0035375",2750
"FBgn0037365",1928.5
"FBgn0033192",8165.5
"FBgn0035383",2352
"FBgn0037364",2267
"FBgn0037330",1122
"FBgn0033292",1462.5
"FBgn0030223",2805
"FBgn0035384",920
"FBgn0035385",3729.33333333333
"FBgn0030003",1972
"FBgn0039877",2442.5
"FBgn0030005",1155
"FBgn0033289",1941.5
"FBgn0030217",2782
"FBgn0004859",5002
"FBgn0039876",1317
"FBgn0033286",1667.5
"FBgn0025825",1660
"FBgn0030008",2017
"FBgn0270927",2331
"FBgn0033190",2379
"FBgn0028646",2746.5
"FBgn0264294",761
"FBgn0033187",2909
"FBgn0030251",2016.5
"FBgn0261397",6194.66666666667
"FBgn0030025",746
"FBgn0003065",1170
"FBgn0020653",2129.33333333333
"FBgn0086768",975.5
"FBgn0003965",1305
"FBgn0030244",984.5
"FBgn0033264",1907
"FBgn0033266",1840
"FBgn0017550",2744
"FBgn0035388",2276.33333333333
"FBgn0005648",1623.5
"FBgn0017545",1037.66666666667
"FBgn0086355",1251.33333333333
"FBgn0021995",2598.5
"FBgn0000427",4360.83333333333
"FBgn0039902",2852.25
"FBgn0010772",3257.66666666667
"FBgn0037360",2415
"FBgn0033273",1908
"FBgn0002773",2286
"FBgn0037358",1224.5
"FBgn0030243",5783
"FBgn0017448",2300.5
"FBgn0000439",2739
"FBgn0039873",1996
"FBgn0086450",3399
"FBgn0039872",2112.5
"FBgn0000071",1633.66666666667
"FBgn0035213",2687.33333333333
"FBgn0030447",1139.5
"FBgn0032955",2058.5
"FBgn0030240",3363
"FBgn0001122",2664.4
"FBgn0027280",2506
"FBgn0022893",1679.66666666667
"FBgn0030441",752
"FBgn0000150",646.333333333333
"FBgn0035211",1583.5
"FBgn0003656",4356.66666666667
"FBgn0035210",840
"FBgn0015222",1242.77777777778
"FBgn0027544",3040.5
"FBgn0039767",2363.5
"FBgn0039889",1018.33333333333
"FBgn0028331",2892.33333333333
"FBgn0030196",1732.66666666667
"FBgn0039773",1880
"FBgn0032957",5091.14285714286
"FBgn0011770",996
"FBgn0039777",913
"FBgn0029990",1480
"FBgn0000559",2866
"FBgn0027654",1514.66666666667
"FBgn0039788",1445
"FBgn0027951",4342.25
"FBgn0261479",1114
"FBgn0039790",1633.9375
"FBgn0030320",3535.25
"FBgn0010333",1761.5
"FBgn0040773",579.75
