FBgn0039596	CG10000	CG10000	FBtr0085315	2597	Drosophila melanogaster
FBgn0035393	CG16753	CG16753	FBtr0072990	764	Drosophila melanogaster
FBgn0037685	CG16755	Or85f	FBtr0082028	1179	Drosophila melanogaster
FBgn0029765	CG16756	CG16756	FBtr0070776	521	Drosophila melanogaster
FBgn0010905	CG16757	Spn	FBtr0304613	7334	Drosophila melanogaster
FBgn0010905	CG16757	Spn	FBtr0304614	10136	Drosophila melanogaster
FBgn0010905	CG16757	Spn	FBtr0304615	7343	Drosophila melanogaster
FBgn0010905	CG16757	Spn	FBtr0304616	6383	Drosophila melanogaster
FBgn0010905	CG16757	Spn	FBtr0304617	6520	Drosophila melanogaster
FBgn0010905	CG16757	Spn	FBtr0304618	7295	Drosophila melanogaster
FBgn0010905	CG16757	Spn	FBtr0304619	9544	Drosophila melanogaster
FBgn0010905	CG16757	Spn	FBtr0304620	8756	Drosophila melanogaster
FBgn0010905	CG16757	Spn	FBtr0304621	7376	Drosophila melanogaster
FBgn0010905	CG16757	Spn	FBtr0345046	7289	Drosophila melanogaster
FBgn0010905	CG16757	Spn	FBtr0345047	6425	Drosophila melanogaster
FBgn0035348	CG16758	CG16758	FBtr0072963	1560	Drosophila melanogaster
FBgn0035348	CG16758	CG16758	FBtr0072964	1488	Drosophila melanogaster
FBgn0035348	CG16758	CG16758	FBtr0072965	1449	Drosophila melanogaster
FBgn0035348	CG16758	CG16758	FBtr0072966	1245	Drosophila melanogaster
FBgn0035348	CG16758	CG16758	FBtr0306577	1617	Drosophila melanogaster
FBgn0035348	CG16758	CG16758	FBtr0331414	1689	Drosophila melanogaster
FBgn0031114	CG1676	cactin	FBtr0340400	2334	Drosophila melanogaster
FBgn0035344	CG16761	Cyp4d20	FBtr0072967	1817	Drosophila melanogaster
FBgn0035343	CG16762	CG16762	FBtr0072968	885	Drosophila melanogaster
FBgn0038541	CG16766	TyrRII	FBtr0083512	2514	Drosophila melanogaster
FBgn0038541	CG16766	TyrRII	FBtr0332173	2313	Drosophila melanogaster
FBgn0038541	CG16766	TyrRII	FBtr0332174	2812	Drosophila melanogaster
FBgn0038541	CG16766	TyrRII	FBtr0344630	4089	Drosophila melanogaster
FBgn0029941	CG1677	CG1677	FBtr0089712	3679	Drosophila melanogaster
FBgn0029941	CG1677	CG1677	FBtr0303415	4077	Drosophila melanogaster
FBgn0029941	CG1677	CG1677	FBtr0339819	3461	Drosophila melanogaster
FBgn0029941	CG1677	CG1677	FBtr0339820	4100	Drosophila melanogaster
FBgn0032779	CG16771	CG16771	FBtr0081204	2455	Drosophila melanogaster
FBgn0032779	CG16771	CG16771	FBtr0302874	2050	Drosophila melanogaster
FBgn0032779	CG16771	CG16771	FBtr0302938	2179	Drosophila melanogaster
FBgn0032779	CG16771	CG16771	FBtr0334164	2417	Drosophila melanogaster
FBgn0032779	CG16771	CG16771	FBtr0334165	2720	Drosophila melanogaster
FBgn0032835	CG16772	CG16772	FBtr0081302	1095	Drosophila melanogaster
FBgn0032835	CG16772	CG16772	FBtr0346480	1030	Drosophila melanogaster
FBgn0036767	CG16775	CG16775	FBtr0290228	698	Drosophila melanogaster
FBgn0266129	CG16778	lov	FBtr0072457	4458	Drosophila melanogaster
FBgn0266129	CG16778	lov	FBtr0072458	4497	Drosophila melanogaster
FBgn0266129	CG16778	lov	FBtr0100126	4712	Drosophila melanogaster
FBgn0266129	CG16778	lov	FBtr0330231	3826	Drosophila melanogaster
FBgn0266129	CG16778	lov	FBtr0343605	4185	Drosophila melanogaster
FBgn0037698	CG16779	CG16779	FBtr0082125	10118	Drosophila melanogaster
FBgn0037698	CG16779	CG16779	FBtr0331349	12291	Drosophila melanogaster
FBgn0037698	CG16779	CG16779	FBtr0331350	12378	Drosophila melanogaster
FBgn0037698	CG16779	CG16779	FBtr0331351	11866	Drosophila melanogaster
FBgn0037698	CG16779	CG16779	FBtr0346097	12444	Drosophila melanogaster
FBgn0031176	CG1678	whe	FBtr0077219	392	Drosophila melanogaster
FBgn0031176	CG1678	whe	FBtr0346383	434	Drosophila melanogaster
FBgn0029661	CG16781	CG16781	FBtr0070530	1509	Drosophila melanogaster
FBgn0029661	CG16781	CG16781	FBtr0310466	1518	Drosophila melanogaster
FBgn0029659	CG16782	CG16782	FBtr0070531	1155	Drosophila melanogaster
FBgn0034937	CG16783	fzr2	FBtr0072146	1450	Drosophila melanogaster
FBgn0003141	CG16784	pr	FBtr0089395	1073	Drosophila melanogaster
FBgn0027343	CG16785	fz3	FBtr0070138	2249	Drosophila melanogaster
FBgn0027343	CG16785	fz3	FBtr0112928	2304	Drosophila melanogaster
FBgn0027343	CG16785	fz3	FBtr0345511	3250	Drosophila melanogaster
FBgn0034974	CG16786	CG16786	FBtr0072247	2800	Drosophila melanogaster
FBgn0034974	CG16786	CG16786	FBtr0072248	2815	Drosophila melanogaster
FBgn0034974	CG16786	CG16786	FBtr0345620	2931	Drosophila melanogaster
FBgn0034940	CG16787	CG16787	FBtr0072207	1071	Drosophila melanogaster
FBgn0037707	CG16788	RnpS1	FBtr0082066	1370	Drosophila melanogaster
FBgn0037712	CG16789	CG16789	FBtr0082071	2734	Drosophila melanogaster
FBgn0037712	CG16789	CG16789	FBtr0332806	2678	Drosophila melanogaster
FBgn0037713	CG16790	CG16790	FBtr0082112	1028	Drosophila melanogaster
FBgn0037713	CG16790	CG16790	FBtr0332807	1008	Drosophila melanogaster
FBgn0038881	CG16791	CG16791	FBtr0084095	7188	Drosophila melanogaster
FBgn0038881	CG16791	CG16791	FBtr0343805	4551	Drosophila melanogaster
FBgn0038881	CG16791	CG16791	FBtr0343806	4719	Drosophila melanogaster
FBgn0038881	CG16791	CG16791	FBtr0343807	7002	Drosophila melanogaster
FBgn0000426	CG16792	SmF	FBtr0088010	467	Drosophila melanogaster
FBgn0036712	CG16793	brv2	FBtr0075242	2367	Drosophila melanogaster
FBgn0036712	CG16793	brv2	FBtr0331846	2301	Drosophila melanogaster
FBgn0032856	CG16798	CG16798	FBtr0081371	2512	Drosophila melanogaster
FBgn0034538	CG16799	CG16799	FBtr0086249	720	Drosophila melanogaster
FBgn0034538	CG16799	CG16799	FBtr0342721	1288	Drosophila melanogaster
FBgn0032462	CG16800	CG16800	FBtr0273445	1030	Drosophila melanogaster
FBgn0034012	CG16801	Hr51	FBtr0114456	2089	Drosophila melanogaster
FBgn0036621	CG16807	roq	FBtr0075423	4680	Drosophila melanogaster
FBgn0036621	CG16807	roq	FBtr0331173	3901	Drosophila melanogaster
FBgn0036621	CG16807	roq	FBtr0333265	6179	Drosophila melanogaster
FBgn0030484	CG1681	GstT4	FBtr0073778	1220	Drosophila melanogaster
FBgn0032488	CG16812	CG16812	FBtr0080445	1721	Drosophila melanogaster
FBgn0032490	CG16813	CG16813	FBtr0080446	715	Drosophila melanogaster
FBgn0032490	CG16813	CG16813	FBtr0334753	902	Drosophila melanogaster
FBgn0032491	CG16815	CG16815	FBtr0273448	718	Drosophila melanogaster
FBgn0037728	CG16817	CG16817	FBtr0082082	1120	Drosophila melanogaster
FBgn0037728	CG16817	CG16817	FBtr0308353	809	Drosophila melanogaster
FBgn0032495	CG16820	CG16820	FBtr0080452	1574	Drosophila melanogaster
FBgn0040973	CG16824	CG16824	FBtr0113336	407	Drosophila melanogaster
FBgn0032503	CG16825	CG16825	FBtr0080463	1888	Drosophila melanogaster
FBgn0032503	CG16825	CG16825	FBtr0329824	3020	Drosophila melanogaster
FBgn0032505	CG16826	CG16826	FBtr0080464	1187	Drosophila melanogaster
FBgn0032505	CG16826	CG16826	FBtr0345611	1248	Drosophila melanogaster
FBgn0034005	CG16827	ItgaPS4	FBtr0087371	3361	Drosophila melanogaster
FBgn0025111	CG1683	Ant2	FBtr0073425	1335	Drosophila melanogaster
FBgn0025111	CG1683	Ant2	FBtr0073426	1302	Drosophila melanogaster
FBgn0025111	CG1683	Ant2	FBtr0333963	1266	Drosophila melanogaster
FBgn0026147	CG16833	CG16833	FBtr0300400	3947	Drosophila melanogaster
FBgn0026147	CG16833	CG16833	FBtr0300401	3259	Drosophila melanogaster
FBgn0026147	CG16833	CG16833	FBtr0300402	3255	Drosophila melanogaster
FBgn0026147	CG16833	CG16833	FBtr0300403	4069	Drosophila melanogaster
FBgn0026147	CG16833	CG16833	FBtr0300404	3943	Drosophila melanogaster
FBgn0026147	CG16833	CG16833	FBtr0304948	4629	Drosophila melanogaster
FBgn0026147	CG16833	CG16833	FBtr0304950	5476	Drosophila melanogaster
FBgn0026147	CG16833	CG16833	FBtr0304951	6903	Drosophila melanogaster
FBgn0026147	CG16833	CG16833	FBtr0304952	6836	Drosophila melanogaster
FBgn0026147	CG16833	CG16833	FBtr0304953	5365	Drosophila melanogaster
FBgn0040096	CG16834	lectin-33A	FBtr0113317	612	Drosophila melanogaster
FBgn0040735	CG16836	CG16836	FBtr0086666	383	Drosophila melanogaster
FBgn0035009	CG16837	CG16837	FBtr0072297	576	Drosophila melanogaster
FBgn0036574	CG16838	elg1	FBtr0089713	4200	Drosophila melanogaster
FBgn0036574	CG16838	elg1	FBtr0089714	3950	Drosophila melanogaster
FBgn0036574	CG16838	elg1	FBtr0307518	4104	Drosophila melanogaster
FBgn0032329	CG16840	Art8	FBtr0080162	1210	Drosophila melanogaster
FBgn0040736	CG16844	IM3	FBtr0086665	301	Drosophila melanogaster
FBgn0040736	CG16844	IM3	FBtr0340328	769	Drosophila melanogaster
FBgn0032522	CG16848	CG16848	FBtr0080501	1198	Drosophila melanogaster
FBgn0015527	CG1685	peng	FBtr0077223	2367	Drosophila melanogaster
FBgn0028942	CG16852	CG16852	FBtr0080507	835	Drosophila melanogaster
FBgn0028941	CG16853	CG16853	FBtr0080508	1293	Drosophila melanogaster
FBgn0028941	CG16853	CG16853	FBtr0332508	1053	Drosophila melanogaster
FBgn0032338	CG16854	CG16854	FBtr0304586	2755	Drosophila melanogaster
FBgn0032338	CG16854	CG16854	FBtr0307171	2350	Drosophila melanogaster
FBgn0032338	CG16854	CG16854	FBtr0343621	3048	Drosophila melanogaster
FBgn0028482	CG16857	bdl	FBtr0077425	2730	Drosophila melanogaster
FBgn0016075	CG16858	vkg	FBtr0079036	6376	Drosophila melanogaster
FBgn0016075	CG16858	vkg	FBtr0333540	6355	Drosophila melanogaster
FBgn0016075	CG16858	vkg	FBtr0333541	6430	Drosophila melanogaster
FBgn0028931	CG16863	CG16863	FBtr0080536	2237	Drosophila melanogaster
FBgn0028931	CG16863	CG16863	FBtr0110942	2184	Drosophila melanogaster
FBgn0028919	CG16865	CG16865	FBtr0080540	915	Drosophila melanogaster
FBgn0028919	CG16865	CG16865	FBtr0331626	1549	Drosophila melanogaster
FBgn0034498	CG16868	CG16868	FBtr0086302	5174	Drosophila melanogaster
FBgn0032535	CG16869	Ance-2	FBtr0080554	2222	Drosophila melanogaster
FBgn0025115	CG16870	Acyp	FBtr0080555	514	Drosophila melanogaster
FBgn0025115	CG16870	Acyp	FBtr0343668	570	Drosophila melanogaster
FBgn0028936	CG16873	NimB5	FBtr0080586	1141	Drosophila melanogaster
FBgn0028936	CG16873	NimB5	FBtr0302501	1335	Drosophila melanogaster
FBgn0028936	CG16873	NimB5	FBtr0343643	1395	Drosophila melanogaster
FBgn0014076	CG16874	Vm32E	FBtr0080216	437	Drosophila melanogaster
FBgn0014076	CG16874	Vm32E	FBtr0343618	499	Drosophila melanogaster
FBgn0260011	CG16876	NimC4	FBtr0080592	1282	Drosophila melanogaster
FBgn0027589	CG1688	CG1688	FBtr0088495	4116	Drosophila melanogaster
FBgn0001967	CG16880	NimC3	FBtr0290243	852	Drosophila melanogaster
FBgn0028544	CG16884	CG16884	FBtr0080557	1413	Drosophila melanogaster
FBgn0032538	CG16885	CG16885	FBtr0080558	1333	Drosophila melanogaster
FBgn0028938	CG16886	CG16886	FBtr0080560	2433	Drosophila melanogaster
FBgn0028938	CG16886	CG16886	FBtr0302990	2326	Drosophila melanogaster
FBgn0032533	CG16888	CG16888	FBtr0080572	557	Drosophila melanogaster
FBgn0028658	CG16889	Adat1	FBtr0080573	3003	Drosophila melanogaster
FBgn0028658	CG16889	Adat1	FBtr0331627	1317	Drosophila melanogaster
FBgn0002576	CG1689	lz	FBtr0071320	3468	Drosophila melanogaster
FBgn0002576	CG1689	lz	FBtr0112814	3105	Drosophila melanogaster
FBgn0028932	CG16890	CG16890	FBtr0080575	831	Drosophila melanogaster
FBgn0028932	CG16890	CG16890	FBtr0329825	1179	Drosophila melanogaster
FBgn0028932	CG16890	CG16890	FBtr0343661	1184	Drosophila melanogaster
FBgn0030122	CG16892	CG16892	FBtr0071319	1587	Drosophila melanogaster
FBgn0030122	CG16892	CG16892	FBtr0339949	1888	Drosophila melanogaster
FBgn0034483	CG16894	CG16894	FBtr0086324	1035	Drosophila melanogaster
FBgn0035073	CG16896	CG16896	FBtr0072423	3322	Drosophila melanogaster
FBgn0034480	CG16898	CG16898	FBtr0086325	1325	Drosophila melanogaster
FBgn0033442	CG1690	CG1690	FBtr0088496	1073	Drosophila melanogaster
FBgn0033442	CG1690	CG1690	FBtr0336936	1708	Drosophila melanogaster
FBgn0263396	CG16901	sqd	FBtr0082854	5551	Drosophila melanogaster
FBgn0263396	CG16901	sqd	FBtr0082855	2115	Drosophila melanogaster
FBgn0263396	CG16901	sqd	FBtr0082856	2239	Drosophila melanogaster
FBgn0263396	CG16901	sqd	FBtr0082857	1983	Drosophila melanogaster
FBgn0263396	CG16901	sqd	FBtr0309094	2844	Drosophila melanogaster
FBgn0040394	CG16903	CG16903	FBtr0070434	1936	Drosophila melanogaster
FBgn0037763	CG16904	CG16904	FBtr0082154	980	Drosophila melanogaster
FBgn0037762	CG16905	eloF	FBtr0082144	933	Drosophila melanogaster
FBgn0037741	CG16908	CG16908	FBtr0082166	3376	Drosophila melanogaster
FBgn0285926	CG1691	Imp	FBtr0073413	4481	Drosophila melanogaster
FBgn0285926	CG1691	Imp	FBtr0073414	12045	Drosophila melanogaster
FBgn0285926	CG1691	Imp	FBtr0073415	5684	Drosophila melanogaster
FBgn0285926	CG1691	Imp	FBtr0073416	8752	Drosophila melanogaster
FBgn0285926	CG1691	Imp	FBtr0073417	3711	Drosophila melanogaster
FBgn0285926	CG1691	Imp	FBtr0073418	6762	Drosophila melanogaster
FBgn0285926	CG1691	Imp	FBtr0073419	2863	Drosophila melanogaster
FBgn0285926	CG1691	Imp	FBtr0073420	3300	Drosophila melanogaster
FBgn0285926	CG1691	Imp	FBtr0301409	3942	Drosophila melanogaster
FBgn0285926	CG1691	Imp	FBtr0305149	3468	Drosophila melanogaster
FBgn0285926	CG1691	Imp	FBtr0305150	4220	Drosophila melanogaster
FBgn0285926	CG1691	Imp	FBtr0346315	3824	Drosophila melanogaster
FBgn0041205	CG16910	key	FBtr0072428	1415	Drosophila melanogaster
FBgn0041205	CG16910	key	FBtr0305672	1421	Drosophila melanogaster
FBgn0035064	CG16912	TyrRS-m	FBtr0072429	1540	Drosophila melanogaster
FBgn0025578	CG16914	Lcp9	FBtr0072430	394	Drosophila melanogaster
FBgn0028686	CG16916	Rpt3	FBtr0073436	1423	Drosophila melanogaster
FBgn0028686	CG16916	Rpt3	FBtr0346274	1553	Drosophila melanogaster
FBgn0002641	CG1692	mal	FBtr0077306	2749	Drosophila melanogaster
FBgn0002641	CG1692	mal	FBtr0344987	3209	Drosophila melanogaster
FBgn0040732	CG16926	CG16926	FBtr0086499	884	Drosophila melanogaster
FBgn0040732	CG16926	CG16926	FBtr0345818	979	Drosophila melanogaster
FBgn0020270	CG16928	mre11	FBtr0080213	2013	Drosophila melanogaster
FBgn0015558	CG1693	tty	FBtr0077224	3927	Drosophila melanogaster
FBgn0015558	CG1693	tty	FBtr0329900	3078	Drosophila melanogaster
FBgn0015558	CG1693	tty	FBtr0329901	7199	Drosophila melanogaster
FBgn0015558	CG1693	tty	FBtr0329902	3853	Drosophila melanogaster
FBgn0015558	CG1693	tty	FBtr0329903	6642	Drosophila melanogaster
FBgn0015558	CG1693	tty	FBtr0333749	3757	Drosophila melanogaster
FBgn0004588	CG16931	Eig71Ea	FBtr0075587	412	Drosophila melanogaster
FBgn0035060	CG16932	Eps-15	FBtr0072433	3980	Drosophila melanogaster
FBgn0035060	CG16932	Eps-15	FBtr0072434	4358	Drosophila melanogaster
FBgn0035060	CG16932	Eps-15	FBtr0072435	4421	Drosophila melanogaster
FBgn0035060	CG16932	Eps-15	FBtr0308684	3695	Drosophila melanogaster
FBgn0033883	CG16935	CG16935	FBtr0087622	1316	Drosophila melanogaster
FBgn0033883	CG16935	CG16935	FBtr0339954	1244	Drosophila melanogaster
FBgn0027590	CG16936	GstE12	FBtr0072436	878	Drosophila melanogaster
FBgn0027590	CG16936	GstE12	FBtr0305309	1022	Drosophila melanogaster
FBgn0027590	CG16936	GstE12	FBtr0305310	1311	Drosophila melanogaster
FBgn0027590	CG16936	GstE12	FBtr0343496	907	Drosophila melanogaster
FBgn0035111	CG16940	Dis3l2	FBtr0072486	3546	Drosophila melanogaster
FBgn0035111	CG16940	Dis3l2	FBtr0072487	3605	Drosophila melanogaster
FBgn0266917	CG16941	Sf3a1	FBtr0083374	2558	Drosophila melanogaster
FBgn0003360	CG16944	sesB	FBtr0073421	1634	Drosophila melanogaster
FBgn0003360	CG16944	sesB	FBtr0073422	1747	Drosophila melanogaster
FBgn0003360	CG16944	sesB	FBtr0073423	1640	Drosophila melanogaster
FBgn0003360	CG16944	sesB	FBtr0073424	1853	Drosophila melanogaster
FBgn0003360	CG16944	sesB	FBtr0346384	1685	Drosophila melanogaster
FBgn0031816	CG16947	CG16947	FBtr0079271	2252	Drosophila melanogaster
FBgn0031816	CG16947	CG16947	FBtr0331186	1927	Drosophila melanogaster
FBgn0031116	CG1695	CG1695	FBtr0332936	6238	Drosophila melanogaster
FBgn0030701	CG16952	CG16952	FBtr0074114	3852	Drosophila melanogaster
FBgn0030701	CG16952	CG16952	FBtr0074115	3667	Drosophila melanogaster
FBgn0030701	CG16952	CG16952	FBtr0074116	4040	Drosophila melanogaster
FBgn0030701	CG16952	CG16952	FBtr0300801	4019	Drosophila melanogaster
FBgn0030701	CG16952	CG16952	FBtr0340041	3980	Drosophila melanogaster
FBgn0038809	CG16953	CG16953	FBtr0300803	2813	Drosophila melanogaster
FBgn0032525	CG16954	Hsp60D	FBtr0080517	1894	Drosophila melanogaster
FBgn0032525	CG16954	Hsp60D	FBtr0080518	1960	Drosophila melanogaster
FBgn0032523	CG16956	CG16956	FBtr0080520	737	Drosophila melanogaster
FBgn0032519	CG16957	CG16957	FBtr0080523	825	Drosophila melanogaster
FBgn0032519	CG16957	CG16957	FBtr0342636	778	Drosophila melanogaster
FBgn0036481	CG16959	CG16959	FBtr0075655	2292	Drosophila melanogaster
FBgn0036481	CG16959	CG16959	FBtr0075656	2092	Drosophila melanogaster
FBgn0036481	CG16959	CG16959	FBtr0303378	2043	Drosophila melanogaster
FBgn0036481	CG16959	CG16959	FBtr0333935	1843	Drosophila melanogaster
FBgn0036481	CG16959	CG16959	FBtr0344235	1866	Drosophila melanogaster
FBgn0029067	CG1696	Dd	FBtr0077226	3043	Drosophila melanogaster
FBgn0029067	CG1696	Dd	FBtr0339623	3034	Drosophila melanogaster
FBgn0029067	CG1696	Dd	FBtr0339624	2860	Drosophila melanogaster
FBgn0026392	CG16960	Or33a	FBtr0080278	1137	Drosophila melanogaster
FBgn0026391	CG16961	Or33b	FBtr0080279	1140	Drosophila melanogaster
FBgn0005664	CG16963	Crys	FBtr0080281	1886	Drosophila melanogaster
FBgn0005664	CG16963	Crys	FBtr0342578	2261	Drosophila melanogaster
FBgn0032385	CG16964	CG16964	FBtr0080282	589	Drosophila melanogaster
FBgn0032385	CG16964	CG16964	FBtr0342579	793	Drosophila melanogaster
FBgn0032387	CG16965	CG16965	FBtr0310149	2300	Drosophila melanogaster
FBgn0032390	CG16969	dgt2	FBtr0080285	842	Drosophila melanogaster
FBgn0032390	CG16969	dgt2	FBtr0342580	987	Drosophila melanogaster
FBgn0030318	CG1697	rho-4	FBtr0073518	2345	Drosophila melanogaster
FBgn0030318	CG1697	rho-4	FBtr0073519	2057	Drosophila melanogaster
FBgn0032481	CG16972	CG16972	FBtr0080488	5882	Drosophila melanogaster
FBgn0010909	CG16973	msn	FBtr0072956	6418	Drosophila melanogaster
FBgn0010909	CG16973	msn	FBtr0072957	5506	Drosophila melanogaster
FBgn0010909	CG16973	msn	FBtr0072958	5206	Drosophila melanogaster
FBgn0010909	CG16973	msn	FBtr0072959	4268	Drosophila melanogaster
FBgn0010909	CG16973	msn	FBtr0333362	5271	Drosophila melanogaster
FBgn0010909	CG16973	msn	FBtr0333363	4282	Drosophila melanogaster
FBgn0010909	CG16973	msn	FBtr0333364	4618	Drosophila melanogaster
FBgn0010909	CG16973	msn	FBtr0333365	5643	Drosophila melanogaster
FBgn0032479	CG16974	CG16974	FBtr0080489	4365	Drosophila melanogaster
FBgn0032479	CG16974	CG16974	FBtr0305555	5528	Drosophila melanogaster
FBgn0032475	CG16975	Sfmbt	FBtr0080491	3939	Drosophila melanogaster
FBgn0032475	CG16975	Sfmbt	FBtr0080492	4777	Drosophila melanogaster
FBgn0032475	CG16975	Sfmbt	FBtr0289981	4846	Drosophila melanogaster
FBgn0032475	CG16975	Sfmbt	FBtr0333236	4765	Drosophila melanogaster
FBgn0040972	CG16978	CG16978	FBtr0307212	409	Drosophila melanogaster
FBgn0036512	CG16979	CG16979	FBtr0075563	2046	Drosophila melanogaster
FBgn0033443	CG1698	CG1698	FBtr0088474	4106	Drosophila melanogaster
FBgn0033443	CG1698	CG1698	FBtr0336935	2246	Drosophila melanogaster
FBgn0025638	CG16982	Roc1a	FBtr0070122	696	Drosophila melanogaster
FBgn0025638	CG16982	Roc1a	FBtr0308651	1229	Drosophila melanogaster
FBgn0025638	CG16982	Roc1a	FBtr0343564	1145	Drosophila melanogaster
FBgn0025637	CG16983	SkpA	FBtr0070123	1087	Drosophila melanogaster
FBgn0025637	CG16983	SkpA	FBtr0070124	1472	Drosophila melanogaster
FBgn0025637	CG16983	SkpA	FBtr0070125	845	Drosophila melanogaster
FBgn0025637	CG16983	SkpA	FBtr0070126	935	Drosophila melanogaster
FBgn0025637	CG16983	SkpA	FBtr0070127	1050	Drosophila melanogaster
FBgn0025637	CG16983	SkpA	FBtr0070128	913	Drosophila melanogaster
FBgn0025637	CG16983	SkpA	FBtr0070129	869	Drosophila melanogaster
FBgn0025637	CG16983	SkpA	FBtr0100530	1544	Drosophila melanogaster
FBgn0025637	CG16983	SkpA	FBtr0345314	826	Drosophila melanogaster
FBgn0062517	CG16984	CG16984	FBtr0072928	1162	Drosophila melanogaster
FBgn0035355	CG16985	CG16985	FBtr0072929	641	Drosophila melanogaster
FBgn0035356	CG16986	CG16986	FBtr0072930	769	Drosophila melanogaster
FBgn0035356	CG16986	CG16986	FBtr0302434	694	Drosophila melanogaster
FBgn0031461	CG16987	daw	FBtr0077720	2819	Drosophila melanogaster
FBgn0031461	CG16987	daw	FBtr0077721	2693	Drosophila melanogaster
FBgn0031461	CG16987	daw	FBtr0335151	3050	Drosophila melanogaster
FBgn0040291	CG16988	Roc1b	FBtr0072547	506	Drosophila melanogaster
FBgn0025621	CG16989	CG16989	FBtr0070140	3208	Drosophila melanogaster
FBgn0025621	CG16989	CG16989	FBtr0343325	3915	Drosophila melanogaster
FBgn0035786	CG16991	Tsp66A	FBtr0299721	1308	Drosophila melanogaster
FBgn0035786	CG16991	Tsp66A	FBtr0302557	2531	Drosophila melanogaster
FBgn0035786	CG16991	Tsp66A	FBtr0332798	1314	Drosophila melanogaster
FBgn0035786	CG16991	Tsp66A	FBtr0332799	1302	Drosophila melanogaster
FBgn0035789	CG16992	mthl6	FBtr0076789	1621	Drosophila melanogaster
FBgn0001259	CG16993	in	FBtr0078183	3062	Drosophila melanogaster
FBgn0031412	CG16995	CG16995	FBtr0077758	721	Drosophila melanogaster
FBgn0263234	CG16996	Phae1	FBtr0080334	904	Drosophila melanogaster
FBgn0263234	CG16996	Phae1	FBtr0345717	1248	Drosophila melanogaster
FBgn0263235	CG16997	Phae2	FBtr0302854	886	Drosophila melanogaster
FBgn0263235	CG16997	Phae2	FBtr0345718	1147	Drosophila melanogaster
FBgn0035795	CG16998	CG16998	FBtr0076829	777	Drosophila melanogaster
FBgn0033122	CG17002	CG17002	FBtr0086170	1722	Drosophila melanogaster
FBgn0033122	CG17002	CG17002	FBtr0303225	1671	Drosophila melanogaster
FBgn0033122	CG17002	CG17002	FBtr0303226	1710	Drosophila melanogaster
FBgn0031082	CG17003	CG17003	FBtr0070035	1129	Drosophila melanogaster
FBgn0032109	CG17005	CG17005	FBtr0273186	1917	Drosophila melanogaster
FBgn0032109	CG17005	CG17005	FBtr0336622	1969	Drosophila melanogaster
FBgn0032109	CG17005	CG17005	FBtr0336623	1850	Drosophila melanogaster
FBgn0032109	CG17005	CG17005	FBtr0336624	2182	Drosophila melanogaster
FBgn0032104	CG17009	aust	FBtr0079819	889	Drosophila melanogaster
FBgn0032104	CG17009	aust	FBtr0343928	929	Drosophila melanogaster
FBgn0033167	CG1701	CG1701	FBtr0113049	453	Drosophila melanogaster
FBgn0033167	CG1701	CG1701	FBtr0332995	952	Drosophila melanogaster
FBgn0032424	CG17010	CG17010	FBtr0080354	1413	Drosophila melanogaster
FBgn0040097	CG17011	lectin-30A	FBtr0079816	779	Drosophila melanogaster
FBgn0031406	CG17012	Send1	FBtr0077804	875	Drosophila melanogaster
FBgn0039972	CG17018	CG17018	FBtr0085956	4310	Drosophila melanogaster
FBgn0039972	CG17018	CG17018	FBtr0085957	4395	Drosophila melanogaster
FBgn0039972	CG17018	CG17018	FBtr0085958	4468	Drosophila melanogaster
FBgn0039972	CG17018	CG17018	FBtr0306235	4815	Drosophila melanogaster
FBgn0039972	CG17018	CG17018	FBtr0306236	4749	Drosophila melanogaster
FBgn0033783	CG17019	CG17019	FBtr0087806	2865	Drosophila melanogaster
FBgn0033783	CG17019	CG17019	FBtr0339738	2695	Drosophila melanogaster
FBgn0031117	CG1702	GstT3	FBtr0077310	875	Drosophila melanogaster
FBgn0031117	CG1702	GstT3	FBtr0300210	978	Drosophila melanogaster
FBgn0031117	CG1702	GstT3	FBtr0340044	1369	Drosophila melanogaster
FBgn0024804	CG17023	Dbp80	FBtr0113715	1459	Drosophila melanogaster
FBgn0024804	CG17023	Dbp80	FBtr0331780	1203	Drosophila melanogaster
FBgn0024804	CG17023	Dbp80	FBtr0331781	1505	Drosophila melanogaster
FBgn0024804	CG17023	Dbp80	FBtr0331782	1458	Drosophila melanogaster
FBgn0024804	CG17023	Dbp80	FBtr0331783	1564	Drosophila melanogaster
FBgn0036550	CG17026	CG17026	FBtr0075513	1004	Drosophila melanogaster
FBgn0036553	CG17027	CG17027	FBtr0075516	1362	Drosophila melanogaster
FBgn0036553	CG17027	CG17027	FBtr0333576	1558	Drosophila melanogaster
FBgn0036552	CG17028	CG17028	FBtr0075515	1140	Drosophila melanogaster
FBgn0036552	CG17028	CG17028	FBtr0302493	893	Drosophila melanogaster
FBgn0036551	CG17029	CG17029	FBtr0075514	1004	Drosophila melanogaster
FBgn0036551	CG17029	CG17029	FBtr0333575	1167	Drosophila melanogaster
FBgn0030321	CG1703	CG1703	FBtr0073520	2970	Drosophila melanogaster
FBgn0030321	CG1703	CG1703	FBtr0343647	3059	Drosophila melanogaster
FBgn0035584	CG17030	CG17030	FBtr0073374	767	Drosophila melanogaster
FBgn0032439	CG17031	Ref2	FBtr0080376	911	Drosophila melanogaster
FBgn0032439	CG17031	Ref2	FBtr0308800	1511	Drosophila melanogaster
FBgn0032439	CG17031	Ref2	FBtr0308801	1717	Drosophila melanogaster
